"CLOSEDDATE","DESCRIPTION","CLOSED","CASE_REASON","STATUS","SUBJECT","COMPANY_NR","LCM_COMPLAINT_NUMBER","LCM_CUSTOMER_NUMBER","CREATED_IN_LCM","OWNER_LCM"
"","Gem Auftrag von Teamleader und Daniel Odermatt will herr beerle bei allen 4 standorten nur den gratis eintrag.
da er sowiso nur in rorschach Ze hatte und bei den 3 anderen standorten nur gratis hat bezieht sich die beschwerde auf diesen standort.
gem swisscom will er nur den gratis eintrag",1,"Publication","Closed","Herr Beerle will nur Gratis Eintrag",19061632,"1000989",3265098193,"06.02.2015","Martina Neuhaus"
"","09/03/2015 - MonaT. - ESK 1  NACHTRAG FÜR MARTINA STRICKER

gem Tel von Herr Jan Roth sind alle Inserate noch mit dem falschen Firmnamen gedruckt worden, 
obwohl er die Einträge wie auch die Gut zum Druck geändert und rechtzeitig gesendet habe. ",1,"Product","Closed","Inserate falsch gedruckt",19061757,"1000950",3470410767,"05.02.2015","Natascha Mohr"
"24.03.2015","Annahme ESK 2:
Gem. Tel vom 24.02.2015 mit Herrn Schibli, informiert er mich, dass er bereits 5mal versucht hat Kube Markovic zu erreichen. Laut dem Kunden wurde versprochen, dass er Anfangs diesem Jahr nochmals kontaktiert wird aufgrund des Vertragabschlusses vom 2014. Man hat ihm im Dezember bereits den Vertrags auf 1 Jahr verkürzt. Laut Kunde wurde ihm aber versprochen, dass der Vertrag storniert wurde. Ihm wurde ebenfalls unter falscher Argumentation verkauft. Es ist versprochen worden, dass der 
stets der Oberste in den Suchergebnissen ist (bestehende Toplistings nicht erwähnt, welche oberhalb erscheinen). 

",1,"Service","Closed","Unzufrieden mit Verkaufsinformatioen / Alle Verträge ",19061829,"1001547",3265098309,"24.02.2015","Gabriela Manser"
"13.02.2015","13.02.2015 / Annahme ESK2 / Reto Z.
Telefonanruf von Frau Lehmann
Auf Grund meines Schreiben reagierte sie ziemlich empört. Sie sagt sie hätte nie mit einem KUBE gesprochen und gesagt, was mir einfällt ihr dies so zu bestätigen.
Ich konnte ihr die Situation gar nicht erklären....Sie hat mir das Telefon aufgehängt.",1,"Contract","Closed","Neue Inhaberin will Vertrag nicht übernehmen",19061833,"1001249",3512515699,"13.02.2015","Reto Zimmermann"
"19.06.2015","falscher Prozess",1,"Contract","Closed","Migration PWP",19061867,"1004641",3265098325,"19.06.2015","Manuela Rittmeyer"
"02.04.2015","02.04.15/Annahme ESK 1:
Herr Bieri interveniert telefonisch auf die erhaltenen 30% Gutschrift auf VT-Nr. 3502443.003 + 004 
(Print mit E-Mailadresse anstelle von URL). Dossier Ursprungsfall liegt bei. ",1,"Product","Closed","Nicht einverstanden mit 30% / VT-Nr. 3502443.003 + 004 ",19062223,"1002417",3265098505,"02.04.2015","Gabriela Manser"
"","13.02.15/Annahme ESK 1:
Wiederaufnahme der offenen Vertragsbesprechung zu US 3, VT-Nr. 3407394.008:

1. KD-Fall
14.10.14/Annahme ESK 1:
Kunde meldet sich mit eingeschriebenem Brief vom 10.10.14 und ist unzufrieden mit seiner Vertragssituation. Eingangsbestätigung per Mail gemacht. Bitte klären, merci.
----------
14.10.14/Bearbeitung:
KD-Fall mit OT-Nr. 142362 ausgelöst/mag
----------
23.12.14/Lösung:
KD-Fall retour: KD wurde von RL Lieberherr am 06.11.14 geklärt. KD wird Ende Januar wieder kontaktiert, damit die Platzierung der US 3 (mit Gutschein 100.00 des Kunden) besprochen werden kann. Evtl. wird 2. und 3. Ausgabe storniert, da dies von Herr Aniba bereits zugesagt worden ist. Momentan bleibt aber alles so. Erscheint wie bisher. Kd informiert/mag
",1,"Contract","Closed","US 3 Inserat wird doch storniert / Vertrags-Nr. 3407394.008 ",19062395,"1001262",3518487034,"13.02.2015","Gabriela Manser"
"22.06.2015","gem. Tel mit Herr Brunner, Kunde hat externe RG von Swisscom erhalten mit CHF 360.00 Aufnahmegebühren. Nach Absprache wurde herausgefunden, dass dies ein Fehler ist. ",1,"Bill","Closed","Rechnungskorrektr da falsch verrechnet",19062395,"1004659",3518683395,"22.06.2015","Sandra Tomic"
"04.03.2015","16.12.2014 
Fabian L. Der Kunde schickt Kündigung und er informiert wegen nicht rechtskräftiger Unterschrift. Im HR noch aktiv. Kein Beweis vorhanden. Vorschlag CPM: Vorbei gehen. Wenn Sie Geschäftsaufgabe bestätigen:
Vertrag 3220134* => Sofort Storno da letzte Rechnung bezahlt.
Vertrag 8317543* => Sofort Storno da letzte Rechnung bezahlt.
Vertrag 3416707** => Da Olivier Lagger nicht Unterschriftkräftig war Storno ohne ANK mit RB ADM. Storno Code Fehler Aussendienst. Rechnung 184996 stornieren oder Vertrag ersetzten wenn Kunde einverstanden ist die Rechnung zu bezahlen.",1,"Service","Closed","Kündigung / nicht unterschriftsberechtigt",19062457,"1001777",3433641385,"04.03.2015","Manuela Rittmeyer"
"06.03.2015","hallo zusammen

Frau Paar hat angerufen von der Firma Walpen + Werlen AG, sie ist von der Buchhaltung..sie behauptet sie habe noch Publikationsgebühren auf der Swisscom Rechnung. ich habe keine Gebühren gefunden, die
für dieses Jahr verrechnet wurden. Frau Paar hat es mit der neuen Inhaberin angeschaut, Frau Nadia Werlen, die kein Interesse hat an den Einträgen. 
sie haben noch einen Betrag offen über CHF 133.35 für den Link Vertrag. sie teilte mit, dass Herr Lagger Olivier nicht Unterschriftsberechtigt sei, nur Herr Kurt Lagger, auf dem Vertrag ist keine Unterschrift zu sehen und im 
Upload Portal, dort wo man die Unterschriften findet, ist auch keine vorhanden. 

sie möchten keine Gebühren haben, da nicht sie die Verträge und Einträge abgeschlossen haben. die Firma wurde übernommen, neu Walpen + Werlen AG

Merci Simona ",1,"Service","Closed","Herr Lagger Olivier sei nicht Unterschriftsberechtigt",19062457,"1001806",3628127164,"05.03.2015","Manuela Rittmeyer"
